ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
KO,2026-04-01,2026-04-01 23:08,Africa24 TV,"The Coca-Cola System in South Africa Announces R17.6 Billion Investment, Supporting Economic Growth","The Coca-Cola system in South Africa, comprising Coca-Cola and its authorized bottlers, announced a R17.6 billion investment through 2030 to expand production, strengthen distribution, and accelerate innovation. This investment reflects Coca-Cola's confidence in the South African market and builds on a socio-economic impact study that revealed the system contributed R51.2 billion in economic activity and supported over 87,000 jobs in 2024. The initiative also includes a nearly $25 million investment in water stewardship programs across 20 African countries.",20260401T230803,2026-04-01 23:08:03,negative,0.8962,-0.8005,0.8962,0.0082,0.0956,-1.0,-0.8962,1.0,1.0,1.0,1.0,-0.8962
KO,2026-04-01,2026-04-01 22:32,Simply Wall Street,Coca-Cola’s US$1b Africa Push And What It Could Mean For Valuation,"Coca-Cola is investing $1 billion in South Africa to expand production and distribution, acquiring a majority stake in Coca-Cola Beverages Africa. This long-term commitment focuses on local hiring and operational expansion in South Africa and 14 other African markets. The move comes as Coca-Cola's shares have shown significant multi-year gains, and is a key development for investors monitoring the company's asset-light, partnership-driven model.",20260401T223204,2026-04-01 22:32:04,negative,0.9313,-0.8716,0.9313,0.0091,0.0596,-1.0,-0.9313,1.0,1.0,1.0,1.0,-0.9313
KO,2026-04-01,2026-04-01 21:39,Human Resources Director,Coca-Cola Consolidated ordered to pay injured worker reassigned to lower-paying role,"A Tennessee workers' compensation court has ordered Coca-Cola Consolidated to pay an injured 30-year employee nearly $20,000 after he was reassigned to lower-paying roles upon returning to work. The ruling emphasizes the financial risks employers face when return-to-work placements do not properly reinstate an injured worker to an equivalent position. The court's decision hinged on the employee's 30 years of tenure, finding it reasonable for him to accept the lower-paying role rather than abandoning accumulated benefits.",20260401T213926,2026-04-01 21:39:26,neutral,0.9528,0.0157,0.0158,0.9528,0.0314,0.0,0.0,1.0,1.0,1.0,1.0,0.0
KO,2026-04-01,2026-04-01 19:38,TradingView,Inventory turnover of Coca-Cola Company – BSESOF:CCC3,"This article from TradingView provides a financial overview of Coca-Cola Company (BSESOF:CCC3), focusing on its inventory turnover. It lists the company's stock information and indicates that the market is currently closed with no trades. The page serves as a data point for investors interested in financial metrics for Coca-Cola.",20260401T193802,2026-04-01 19:38:02,positive,0.9421,0.92,0.022,0.0359,0.9421,1.0,0.9421,1.0,1.0,1.0,1.0,0.9421
KO,2026-04-01,2026-04-01 16:38,The Globe and Mail,What Makes Coca-Cola More Attractive Than PepsiCo?,"Coca-Cola is presented as a compelling investment due to its focused beverage business model, strong organic sales growth, and attractive valuation. While PepsiCo offers diversification, Coca-Cola's specialized approach and status as a Dividend King make it a strong contender for investors seeking a reasonably priced, industry-leading company with an above-market dividend yield.",20260401T163812,2026-04-01 16:38:12,negative,0.9246,-0.8583,0.9246,0.0091,0.0663,-1.0,-0.9246,1.0,1.0,1.0,1.0,-0.9246
KO,2026-04-01,2026-04-01 16:38,Business Insider Africa,Coca-Cola to invest $1 billion in Africa's richest country through 2030,"Coca-Cola and its authorized bottlers plan to invest $1.05 billion (17.6 billion rand) in South Africa by 2030 to expand production capacity, strengthen distribution, and accelerate innovation. This investment aligns with South Africa's efforts to attract foreign investment. Coca-Cola is also expanding its footprint across Africa, including an acquisition in Coca-Cola Beverages Africa and further planned investments in Nigeria.",20260401T163801,2026-04-01 16:38:01,negative,0.9162,-0.8407,0.9162,0.0082,0.0755,-1.0,-0.9162,1.0,1.0,1.0,1.0,-0.9162
KO,2026-04-01,2026-04-01 14:39,Actusnews,Total Voting Rights,"Coca-Cola Europacific Partners plc announced its total voting rights as of March 31, 2026. The company had 446,057,946 ordinary shares of €0.01 each in issue, with each carrying one vote, and no shares were held in treasury. This figure of 446,057,946 voting rights is to be used by shareholders for calculations regarding their notification obligations under the FCA's Disclosure Guidance and Transparency Rules.",20260401T143943,2026-04-01 14:39:43,positive,0.9567,0.9321,0.0246,0.0186,0.9567,1.0,0.9567,1.0,1.0,1.0,1.0,0.9567
KO,2026-04-01,2026-04-01 14:38,PitchOnnet,Henrique Braun assumes role of CEO at The Coca-Cola Company,"Henrique Braun has officially taken over as Chief Executive Officer of The Coca-Cola Company, succeeding James Quincey, who transitions to Executive Chairman. Braun, 57, brings 30 years of experience and aims to pursue global growth, strengthen consumer connections, and leverage technology for expansion. The company board intends to nominate Braun for election as a director at the 2026 Annual Meeting.",20260401T143812,2026-04-01 14:38:12,positive,0.82,0.6521,0.1679,0.0121,0.82,1.0,0.82,1.0,1.0,1.0,1.0,0.82
KO,2026-04-01,2026-04-01 13:38,https://en.edairynews.com/,Coca-Cola Bets $650M On Fairlife Dairy Growth,"Coca-Cola is investing $650 million to significantly expand its Fairlife dairy production facility in Coopersville, Michigan. This expansion will add 245,000 square feet, install new production lines, and create 150 jobs to meet the growing consumer demand for Fairlife's lactose-free milk and protein shakes. State and local incentives, including a $17 million grant for water infrastructure, are supporting the project, which is set to begin construction in late 2026 and become operational by 2028.",20260401T133812,2026-04-01 13:38:12,negative,0.8943,-0.7974,0.8943,0.0087,0.097,-1.0,-0.8943,1.0,1.0,1.0,1.0,-0.8943
KO,2026-04-01,2026-04-01 13:29,Business Wire,Reagan Calhoun Joins Coke Florida as Vice President and Chief of Staff,"Coca-Cola Beverages Florida (Coke Florida) has appointed Reagan Calhoun as Vice President and Chief of Staff to Chairman & CEO Troy Taylor. Calhoun brings over two decades of experience within The Coca-Cola Company system, holding previous roles such as Vice President, Finance for Marketing and Supply Chain within the North America Operating Unit. Her appointment is expected to strengthen leadership alignment and accelerate progress on key priorities for Coke Florida.",20260401T132958,2026-04-01 13:29:58,negative,0.5352,-0.0823,0.5352,0.012,0.4528,-1.0,-0.5352,1.0,1.0,1.0,1.0,-0.5352
KO,2026-04-01,2026-04-01 12:33,Just Drinks,Coca-Cola Co. and bottlers to invest in South Africa operations,"The Coca-Cola Company, along with its bottlers Coca-Cola Beverages South Africa (CCBSA) and Coca-Cola Peninsula Beverages (CCPB), plans to invest R17.6bn ($1.05bn) into its South African operations by 2030. This significant investment aims to expand production capacity, strengthen distribution, and accelerate innovation within the Coca-Cola system's value chain in the region. The move underscores Coca-Cola's confidence in the South African market and its long-term economic potential.",20260401T123304,2026-04-01 12:33:04,negative,0.9383,-0.8874,0.9383,0.0108,0.0509,-1.0,-0.9383,1.0,1.0,1.0,1.0,-0.9383
KO,2026-04-01,2026-04-01 12:09,The Globe and Mail,"The Zacks Analyst Blog Exxon, The Coca-Cola and Uber","This Zacks Analyst Blog features new research reports on Exxon Mobil Corp., The Coca-Cola Co., and Uber Technologies, Inc. It details the performance and outlook for each company, highlighting their strengths, challenges, and analyst recommendations. The report also mentions Zacks' market-crushing strategies for stock picking.",20260401T120903,2026-04-01 12:09:03,positive,0.9182,0.8496,0.0685,0.0133,0.9182,1.0,0.9182,1.0,1.0,1.0,1.0,0.9182
KO,2026-04-01,2026-04-01 11:54,Reuters,Coca-Cola plans to invest $1 billion in South Africa through 2030,"Coca-Cola and its South African bottlers plan to invest $1.05 billion (17.6 billion rand) in South Africa by 2030. This investment aims to expand production capacity, strengthen distribution, and accelerate innovation within the ""Coca-Cola system's"" value chain. The announcement was made by Luis Felipe Avellar at an investment conference in Johannesburg, where President Cyril Ramaphosa is seeking new investments.",20260401T115414,2026-04-01 11:54:14,negative,0.8833,-0.774,0.8833,0.0074,0.1093,-1.0,-0.8833,1.0,1.35,1.0,1.35,-1.192455
KO,2026-04-01,2026-04-01 11:05,MarketBeat,"PepsiCo, Inc. $PEP Shares Acquired by Moody Lynn & Lieberson LLC","Moody Lynn & Lieberson LLC significantly increased its stake in PepsiCo, Inc. (NASDAQ:PEP) by 25.2% during the fourth quarter, now owning 82,583 shares valued at over $11.8 million. Other institutional investors have also adjusted their positions, with 73.07% of the stock held by institutions. Analyst ratings for PepsiCo are mixed, with a consensus ""Hold"" rating and a target price of $169.00, while the company also declared a quarterly dividend and authorized a $10 billion stock buyback program.",20260401T110532,2026-04-01 11:05:32,negative,0.897,-0.8299,0.897,0.0359,0.0671,-1.0,-0.897,1.0,1.0,1.0,1.0,-0.897
KO,2026-04-01,2026-04-01 10:16,MarketBeat,"Shrier Wealth Management LLC Makes New Investment in PepsiCo, Inc. $PEP","Shrier Wealth Management LLC has acquired a new stake of 12,785 shares in PepsiCo, Inc., valued at approximately $1.835 million, according to its latest 13F filing. PepsiCo has also authorized a $10 billion share buyback program and recently paid a quarterly dividend of $1.4225 per share. Analysts currently have a ""Hold"" rating on the stock with an average price target of $169.",20260401T101636,2026-04-01 10:16:36,positive,0.91,0.8318,0.0782,0.0118,0.91,1.0,0.91,1.0,1.0,1.0,1.0,0.91
