ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
HD,2025-01-01,2024-12-31 23:59,ETF Trends,3 Retail Trends for 2024,"This article discusses three key retail trends for 2024, highlighting the nuanced differences between consumer discretionary and staples spending, the normalization of retailer inventories, and the resilient albeit segmented growth of e-commerce. It addresses consumer spending contradictions and their impact on retail strategies, noting a potential reduction in discounts and the benefits of a strong e-commerce framework for profitability. The piece also references several ETFs related to these retail sectors.",20241231T235959,2024-12-31 23:59:59,positive,0.8261,0.6799,0.1463,0.0276,0.8261,1.0,0.8261,0.9999973258246383,1.0,1.0,0.9999973258246383,0.8260977908637337
HD,2025-01-01,2024-12-31 23:59,Business Wire,"Carlisle Companies Announces that Henry, a Carlisle Company, is Recognized as The Home Depot’s Building Materials Partner of the Year for the Second Time in Three Years","Carlisle Companies announced that its Henry brand has been recognized as The Home Depot’s Building Materials Partner of the Year for 2024, marking the second time in three years it has received this award. This award acknowledges Henry's outstanding performance, product innovation, and its seamless integration into Carlisle's operations. The recognition highlights Henry's contributions to Carlisle's Vision 2030 strategy and its collaboration with The Home Depot on new product developments.",20241231T235959,2024-12-31 23:59:59,negative,0.9021,-0.8148,0.9021,0.0107,0.0872,-1.0,-0.9021,0.9999973258246383,1.0,1.25,1.249996657280798,-1.1276219845330078
HD,2025-01-01,2024-12-31 23:59,Fortune,Home Depot orders corporate staff to take 8-hour retail shifts,"Home Depot will require all corporate employees, including senior management and remote workers, to complete an eight-hour retail shift each quarter starting in Q4 this year. This move is aimed at connecting corporate staff with the core of the business and understanding the challenges faced by store associates. The decision comes amidst a sales slump, rising labor activism, and efforts to improve store employee retention.",20241231T235959,2024-12-31 23:59:59,positive,0.5354,0.1687,0.3667,0.098,0.5354,1.0,0.5354,0.9999973258246383,1.0,1.0,0.9999973258246383,0.5353985682465113
HD,2025-01-01,2024-12-31 23:59,The Wall Street Journal,Home Depot Lifts Full-Year Outlook After Third-Quarter Sales Rise,"Home Depot raised its full-year guidance after exceeding third-quarter sales expectations. The company reported adjusted earnings of $3.78 per share, surpassing analyst forecasts of $3.65 per share, with revenue climbing 6.6% to $40.22 billion. Comparable-store sales declined less than anticipated, indicating stronger performance driven by customer purchases of outdoor products and hurricane preparedness items.",20241231T235959,2024-12-31 23:59:59,neutral,0.8063,-0.1568,0.1752,0.8063,0.0184,0.0,0.0,0.9999973258246383,1.3,1.0,1.2999965235720299,0.0
HD,2025-01-01,2024-12-31 23:59,AP News,"Home Depot's sales continue to soften in 2024 as inflation, delayed start to spring weigh on sales","Home Depot's sales continued to soften in the first quarter of 2024 due to high mortgage rates, inflation, and a delayed start to spring. The home improvement retailer saw sales slip 2.3% and customer transactions dip, marking the third consecutive quarter of declines after a pandemic-era surge. Despite challenges in the consumer market, Home Depot is focusing on its professional business segment, including a recent ""$18.25 billion"" acquisition of SRS Distribution.",20241231T235959,2024-12-31 23:59:59,neutral,0.949,0.0116,0.0197,0.949,0.0313,0.0,0.0,0.9999973258246383,1.0,1.0,0.9999973258246383,0.0
HD,2025-01-01,2024-12-31 23:59,The Wall Street Journal,Home Depot Buys Roofing Distributor in Deal Valued at $18 Billion Including Debt,"Home Depot announced its acquisition of SRS Distribution for $18 billion, including debt. This strategic move aims to expand Home Depot's reach into supplying professional contractors and large construction projects, diversifying its business beyond traditional do-it-yourself sales, which have been slowing. The acquisition reflects a significant bet on the professional segment of the home improvement market.",20241231T235959,2024-12-31 23:59:59,negative,0.9383,-0.8871,0.9383,0.0106,0.0512,-1.0,-0.9383,0.9999973258246383,1.3,1.0,1.2999965235720299,-1.2197867380676357
HD,2025-01-01,2024-12-31 23:59,Scripps News,"T.J. Maxx parent company opening 1,300 new locations in sizable expansion","TJX, the parent company of T.J. Maxx, Marshalls, HomeGoods, and Sierra, announced plans for a significant global expansion, intending to open 1,300 new stores across the U.S., Canada, Europe, and Australia. This expansion would increase its total footprint by over 26% to more than 6,200 locations. The company reported a 3% increase in comparable sales in the most recent quarter and is also remodeling 480 existing locations to maintain store quality and competitiveness.",20241231T235959,2024-12-31 23:59:59,negative,0.9375,-0.885,0.9375,0.01,0.0525,-1.0,-0.9375,0.9999973258246383,1.0,1.0,0.9999973258246383,-0.9374974929605984
HD,2025-01-01,2024-12-31 23:59,Business Wire,Trex Company Welcomes New Chief Information Officer to Leadership Team,"Trex Company, Inc. announced that Dr. Anand Kangala has joined as its new Vice President and Chief Information Officer, effective immediately. Dr. Kangala will lead global IT functions and enterprise technology strategy, focusing on digital solutions and data-driven decision-making. His experience includes leadership roles at Home Depot, Edward Jones, Carter's Inc., Cato Corporation, and IBM.",20241231T235959,2024-12-31 23:59:59,positive,0.8893,0.7892,0.1001,0.0106,0.8893,1.0,0.8893,0.9999973258246383,1.0,1.0,0.9999973258246383,0.8892976218558508
HD,2025-01-01,2024-12-31 23:59,Finimize,Home Depot announced strong results and improved its outlook,"Home Depot reported strong third-quarter results, beating investor expectations and raising its annual forecast, partly due to an $18 billion acquisition and increased demand from hurricane-related repairs and a long summer. The performance offers insights into US consumer confidence, although the boosts from acquisitions and weather may skew the perception of consumer financial health. The article also highlights a valuation gap between Home Depot and Lowe's, with analysts expecting higher growth for Lowe's despite Home Depot's higher current valuation.",20241231T235959,2024-12-31 23:59:59,negative,0.915,-0.8933,0.915,0.0633,0.0217,-1.0,-0.915,0.9999973258246383,1.0,1.0,0.9999973258246383,-0.9149975531295441
HD,2025-01-01,2024-12-31 23:59,Business Wire,GLIDDEN paint by PPG names Brick Red Spray Paint Color of the Year 2025,"PPG's Glidden paint brand has named Brick Red as its Spray Paint Color of the Year 2025, a complementary color to their 2025 Color of the Year, Purple Basil. This energetic and warm red encourages consumers to use bold colors for accent pieces, reflecting a shift towards warmer shades and curated maximalism. Glidden color experts note that consumers are increasingly selecting colors that bring them joy rather than focusing on resale value.",20241231T235959,2024-12-31 23:59:59,positive,0.8134,0.6401,0.1733,0.0133,0.8134,1.0,0.8134,0.9999973258246383,1.0,1.0,0.9999973258246383,0.8133978248257608
HD,2025-01-01,2024-12-31 23:59,Business Wire,GLIDDEN Paint by PPG picks 2025 Color of the Year: Purple Basil,"GLIDDEN Paint by PPG has announced Purple Basil (PPG1046-7) as its 2025 Color of the Year, a warm, high-impact hue designed to encourage consumers to embrace dramatic colors in their homes. Glidden's color experts recommend Purple Basil for interior walls, trim, cabinetry, and exterior accents, suggesting it for both professional and DIY designers. This choice reflects a growing appreciation for self-discovery and self-expression, aligning with the rise of maximalism in design.",20241231T235959,2024-12-31 23:59:59,positive,0.6667,0.3428,0.3239,0.0095,0.6667,1.0,0.6667,0.9999973258246383,1.0,1.0,0.9999973258246383,0.6666982171272863
HD,2025-01-01,2024-12-31 23:59,U.S. Consumer Product Safety Commission (.gov),Stanley Black & Decker Recalls DeWALT Battery Walk-Behind Mowers Due to Laceration Hazard | CPSC.gov,"Stanley Black & Decker has recalled approximately 46,200 DeWALT Battery Walk-Behind Mowers due to a laceration hazard. If water enters the handle support while the battery is installed, the mower may fail to shut off or start unexpectedly. Consumers are advised to stop using affected mowers if they have gotten wet and contact DeWALT for a free repair.",20241231T235959,2024-12-31 23:59:59,neutral,0.8874,0.0909,0.0108,0.8874,0.1017,0.0,0.0,0.9999973258246383,1.0,1.0,0.9999973258246383,0.0
HD,2025-01-01,2024-12-30 00:00,The Business Journals,Home Depot buys former Wells Fargo building,"Home Depot has acquired a former Wells Fargo building in Pembroke Park, Florida, as part of its plan to open 80 new stores. This move aligns with the Atlanta-based retailer's strategy to expand its footprint for home repair goods. The announcement comes after Home Depot revealed its expansion intentions earlier in the year.",20241230T000000,2024-12-30 00:00:00,negative,0.7908,-0.5903,0.7908,0.0086,0.2006,-1.0,-0.7908,0.6299605249474366,1.0,1.0,0.6299605249474366,-0.49817278312843283
HD,2025-01-01,2024-12-27 07:08,Marketing91,"Who Owns Home Depot? Owner, CEO and Key Data (2026)","Home Depot is a public company with shares listed on the New York Stock Exchange, meaning it has no single owner. Its major shareholders include The Vanguard Group and BlackRock, who influence strategic decisions. Edward 'Ted' Decker serves as the Chairman, CEO, and a member of the Board of Directors, focusing on integrating digital and physical channels for an improved customer experience. The company, founded in 1978, has expanded significantly through strategic acquisitions and is recognized for its philanthropy and commitment to sustainability.",20241227T070820,2024-12-27 07:08:20,negative,0.5611,-0.1308,0.5611,0.0086,0.4303,-1.0,-0.5611,0.337388935697303,1.0,1.0,0.337388935697303,-0.18930893181975672
