ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
AMZN,2025-04-01,2025-04-01 19:53,TradingView,GPIQ ETF Holdings List — NASDAQ:GPIQ,"This article provides the current holdings list for the Goldman Sachs Nasdaq-100 Premium Income ETF (GPIQ) as of February 27, 2026. It details the top holdings, including NVIDIA, Apple, Microsoft, Amazon, and Tesla, along with their respective weight percentages, number of shares, and market values. The data offers insights into the fund's composition and its major investments.",20250401T195313,2025-04-01 19:53:13,positive,0.9492,0.9186,0.0306,0.0201,0.9492,1.0,0.9492,1.0,1.0,1.0,1.0,0.9492
AMZN,2025-04-01,2025-04-01 10:59,TradingView,XLY ETF Holdings List — AMEX:XLY,"This article provides a detailed list of the top holdings for the XLY ETF (State Street Consumer Discretionary Select Sector SPDR ETF) as of February 27, 2026. It includes the weight percentage, number of shares, and market value for each company held within the ETF. Key holdings include Amazon.com, Inc., Tesla, Inc., Home Depot, Inc., and McDonald's Corporation, among others.",20250401T105945,2025-04-01 10:59:45,positive,0.9518,0.9294,0.0224,0.0258,0.9518,1.0,0.9518,1.0,1.0,1.0,1.0,0.9518
AMZN,2025-04-01,2025-04-01 10:03,StocksToTrade,RSLS: Unpacking the Shocking Stock Swing,"ReShape Lifesciences Inc. (RSLS) experienced a significant stock surge of 246.74%, largely attributed to breakthroughs in their weight loss surgery devices and a proposed merger with Vyome Therapeutics Inc. Despite this investor enthusiasm, the company faces substantial financial challenges, including negative profit margins and dwindling cash reserves. The article questions whether the stock's volatility is indicative of a genuine turnaround or a speculative bubble, urging caution for potential investors.",20250401T100300,2025-04-01 10:03:00,neutral,0.9352,-0.0286,0.0467,0.9352,0.0181,0.0,0.0,1.0,1.0,1.0,1.0,0.0
AMZN,2025-04-01,2025-04-01 06:52,TradingView,SPYI ETF Holdings List — CBOE:SPYI,"This article lists the top holdings of the NEOS S&P 500 High Income ETF (SPYI) as of February 26, 2026. Key holdings include major technology companies like NVIDIA, Apple, Microsoft, and Amazon, along with others such as Alphabet and Tesla. The list details the weight, number of shares, and market value for each of the top ten holdings.",20250401T065251,2025-04-01 06:52:51,positive,0.9502,0.9247,0.0255,0.0243,0.9502,1.0,0.9502,1.0,1.0,1.0,1.0,0.9502
AMZN,2025-04-01,2025-04-01 03:52,TradingView,QQQI ETF Holdings List — NASDAQ:QQQI,"This article provides the holdings list for the NEOS Nasdaq 100 High Income ETF (QQQI) as of February 26, 2026. Key holdings include NVIDIA, Apple, Microsoft, and Amazon. The list details the weight percentage, number of shares, and market value for each company held by the ETF.",20250401T035222,2025-04-01 03:52:22,positive,0.9544,0.9335,0.0209,0.0247,0.9544,1.0,0.9544,1.0,1.0,1.0,1.0,0.9544
AMZN,2025-04-01,2025-04-01 01:56,Yahoo Finance,"MercadoLibre, Inc. (MELI): Among the Best Emerging Markets Stocks to Buy According to Hedge Funds","MercadoLibre, Inc. (MELI) is highlighted as one of the best emerging markets stocks to buy according to hedge funds, ranking second on a list of top picks. The article emphasizes the higher growth potential and diversification benefits of emerging markets, especially given current valuations and economic slowdown concerns in the US market. MELI's strong performance in 2024 across e-commerce and fintech in Latin America, coupled with its long-term growth outlook, makes it an attractive investment, despite the author's nuanced preference for AI stocks with more immediate returns.",20250401T015612,2025-04-01 01:56:12,negative,0.936,-0.8825,0.936,0.0104,0.0535,-1.0,-0.936,1.0,1.0,1.0,1.0,-0.936
AMZN,2025-04-01,2025-04-01 01:53,Grocery Dive,"Kroger’s road ahead runs through its past, analysts say","Kroger is facing significant challenges, including the departure of its CEO, the failure of its merger with Albertsons, and intense competition from rivals like Walmart. Analysts suggest Kroger has lost its way by focusing on alternative profits and costly e-commerce investments, neglecting its core grocery business and pricing strategy. The company is urged to look for a new leader from outside to refocus on its roots as a supermarket operator and improve its value proposition to consumers.",20250401T015334,2025-04-01 01:53:34,neutral,0.8995,0.0297,0.0354,0.8995,0.0651,0.0,0.0,1.0,1.0,1.0,1.0,0.0
AMZN,2025-04-01,2025-03-31 18:00,CNBC,"OpenAI closes $40 billion funding round, largest private tech deal on record","OpenAI has secured a record-setting $40 billion funding round, valuing the company at $300 billion, including the new capital. This makes it the largest private tech deal ever, with SoftBank contributing $30 billion and a syndicate of investors, including Microsoft, making up the rest. The funding includes $18 billion earmarked for the Stargate project, a joint venture with SoftBank and Oracle, and hinges on OpenAI's successful restructuring into a for-profit entity by December 31.",20250331T180000,2025-03-31 18:00:00,negative,0.8124,-0.6328,0.8124,0.0081,0.1795,-1.0,-0.8124,0.9438743126816935,1.15,1.0,1.0854554595839474,-0.8818240153659989
AMZN,2025-04-01,2025-03-31 11:53,TradingView,YMAG ETF Holdings List — AMEX:YMAG,"This article provides a detailed list of the holdings for the YMAG (YieldMax Magnificent 7 Fund of Option Income ETFs) ETF as of February 27, 2026. The fund primarily invests in option income strategy ETFs for major tech companies like Amazon, Microsoft, Meta, Tesla, Google, Apple, and Nvidia, alongside small allocations to U.S. Dollar reserves and a Government Obligations Fund. Each holding's weight, share count, and market value are presented.",20250331T115314,2025-03-31 11:53:14,positive,0.9544,0.9253,0.0291,0.0165,0.9544,1.0,0.9544,0.8899319794669722,1.0,1.0,0.8899319794669722,0.8493510812032783
AMZN,2025-04-01,2025-03-31 03:44,Analytics Insight,Tomer Weingarten,"Tomer Weingarten is the co-founder and CEO of SentinelOne, a cybersecurity company that revolutionizes cybersecurity with its AI-powered platform. He has played a major role in the company's growth, expanding its presence globally. Weingarten's net worth is estimated at US$19 million as of March 2025, primarily from his holdings in SentinelOne stock.",20250331T034438,2025-03-31 03:44:38,positive,0.7775,0.5631,0.2143,0.0082,0.7775,1.0,0.7775,0.8228293290100327,1.0,1.0,0.8228293290100327,0.6397498033053004
