ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
NVDA,2026-01-01,2026-01-01 23:40,Finviz,1 Safe-and-Steady Stock to Target This Week and 2 We Ignore,"This article identifies one low-volatility stock, Rollins (ROL), as a potential buy due to its strong revenue growth, high gross margins, and robust free cash flow. Conversely, it advises caution on Champion Homes (SKY) and UL Solutions (ULS) due to slowing sales, diminishing returns, and unexciting growth trends. The piece emphasizes the importance of choosing dynamic companies for portfolio growth.",20260101T234000,2026-01-01 23:40:00,positive,0.7494,0.6796,0.0698,0.1808,0.7494,1.0,0.7494,1.0,1.0,1.0,1.0,0.7494
NVDA,2026-01-01,2026-01-01 23:39,Finviz,3 of Wall Street's Favorite Stocks That Concern Us,"This article analyzes three stocks—Tenable (TENB), Kratos (KTOS), and Masimo (MASI)—that are highly favored by Wall Street analysts but raise concerns based on independent analysis. It highlights issues such as weak billings growth, declining free cash flow margins, and eroding returns on capital for these companies. The article suggests investors look beyond bullish analyst calls and offers alternative investment recommendations.",20260101T233900,2026-01-01 23:39:00,neutral,0.8022,0.1487,0.0245,0.8022,0.1732,0.0,0.0,1.0,1.0,1.0,1.0,0.0
NVDA,2026-01-01,2026-01-01 23:38,Finviz,3 Low-Volatility Stocks That Concern Us,"This article identifies three low-volatility stocks—Heartland Express (HTLD), Huntington Ingalls (HII), and LifeStance Health Group (LFST)—that it suggests investors avoid due to various financial and operational concerns. It highlights issues such as declining sales, weak free cash flow, and poor returns on capital for these companies, despite their perceived stability. The article also recommends a curated list of ""High Quality stocks"" for investors seeking market-beating returns.",20260101T233800,2026-01-01 23:38:00,neutral,0.7655,0.198,0.0182,0.7655,0.2162,0.0,0.0,1.0,1.0,1.0,1.0,0.0
NVDA,2026-01-01,2026-01-01 23:37,Finviz,3 Small-Cap Stocks We Keep Off Our Radar,"This article examines three small-cap stocks—Advanced Energy (AEIS), Plexus (PLXS), and Stratasys (SSYS)—that investors should approach with caution due to various financial and operational concerns. Each company faces challenges such as stagnating sales, increasing expenses, and declining returns on capital. The author suggests exploring StockStory's ""Top 6 Stocks"" for higher-quality investment opportunities.",20260101T233700,2026-01-01 23:37:00,neutral,0.7758,0.1806,0.0218,0.7758,0.2024,0.0,0.0,1.0,1.0,1.0,1.0,0.0
NVDA,2026-01-01,2026-01-01 23:37,Finviz,1 Unpopular Stock That Deserves a Second Chance and 2 Facing Headwinds,"This article analyzes three stocks based on their consensus price targets and independent analysis by StockStory. It identifies RTX and RenaissanceRe (RNR) as stocks likely to face headwinds due to concerns about slowing demand, poor expense management, and declining sales growth. Conversely, Molina Healthcare (MOH) is presented as a stock to watch, with potential for market share growth and strong revenue performance.",20260101T233700,2026-01-01 23:37:00,neutral,0.9295,0.0342,0.0182,0.9295,0.0523,0.0,0.0,1.0,1.0,1.25,1.25,0.0
NVDA,2026-01-01,2026-01-01 23:10,TradingView — Track All Markets,US Futures Kick Off the New Year Higher,"US stock futures rose on Friday, starting 2026 on a positive note as investors aim to build on 2025's strong gains, which were largely driven by AI-led growth and Fed interest rate cuts. The S&P 500, Nasdaq, and Dow all saw double-digit returns in the previous year, with Palantir, AppLovin, Alphabet, and Nvidia as top performers. Traders are now looking ahead to upcoming manufacturing and services PMIs and JOLTS data next week.",20260101T231058,2026-01-01 23:10:58,negative,0.9396,-0.9066,0.9396,0.0274,0.033,-1.0,-0.9396,1.0,1.0,1.0,1.0,-0.9396
NVDA,2026-01-01,2026-01-01 23:05,Finviz,3 Reasons to Sell AMKR and 1 Stock to Buy Instead,"This article advises investors to consider selling Amkor Technology (AMKR) despite its recent stock surge, citing low gross margins, stalled EPS growth, and mediocre free cash flow as reasons for concern. The author suggests that Amkor's business quality falls short due to its competitive market position and lack of pricing power. Instead, the article recommends exploring high-quality software and edge computing picks, highlighting past successes like Nvidia and Comfort Systems for potential ""next big winners.""",20260101T230500,2026-01-01 23:05:00,neutral,0.8303,0.1059,0.0319,0.8303,0.1378,0.0,0.0,1.0,1.0,1.0,1.0,0.0
NVDA,2026-01-01,2026-01-01 23:02,Finviz,"WSFS Financial (WSFS): Buy, Sell, or Hold Post Q3 Earnings?","This report analyzes WSFS Financial's performance following its Q3 earnings, noting a disappointing 5.6% loss in shares over the last six months. The analysis highlights concerns about net interest income growth, projected net interest income stalling, and weak EPS growth, leading analysts to suggest better investment opportunities exist elsewhere despite a fair valuation.",20260101T230200,2026-01-01 23:02:00,neutral,0.9637,0.0015,0.0174,0.9637,0.0189,0.0,0.0,1.0,1.0,1.25,1.25,0.0
NVDA,2026-01-01,2026-01-01 23:02,Finviz,3 Reasons to Sell AORT and 1 Stock to Buy Instead,"This article argues for selling Artivion (AORT) despite its recent stock increase, citing three main concerns: limited distribution channels due to small scale, breakeven free cash flow hindering reinvestment, and mediocre performance of previous growth initiatives. The author suggests looking for better opportunities elsewhere, specifically recommending a well-established endpoint security platform or other high-quality momentum stocks.",20260101T230200,2026-01-01 23:02:00,neutral,0.561,0.2088,0.1151,0.561,0.3239,0.0,0.0,1.0,1.0,1.0,1.0,0.0
NVDA,2026-01-01,2026-01-01 22:12,ts2.tech,Marvell Technology (MRVL) stock ends 2025 down 2% as Wall Street shuts for New Year’s Day — what investors watch next,"Marvell Technology (MRVL) shares closed 2025 down 2.1% at $84.98 amidst a broader market dip during the holiday-shortened trading week, with investors now looking ahead to 2026 interest-rate expectations and the longevity of the AI tech rally. Key upcoming catalysts for the chipmaker include its fiscal fourth-quarter earnings and guidance, the pending acquisition of Celestial AI, and macro data like U.S. payrolls and inflation reports. These factors will influence whether data-center demand holds up and provide clearer direction for the stock.",20260101T221216,2026-01-01 22:12:16,neutral,0.9653,0.0149,0.0099,0.9653,0.0248,0.0,0.0,1.0,1.0,1.0,1.0,0.0
