ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
ORCL,2025-07-01,2025-07-01 20:32,UC Today,The Top Session Border Controller Vendors in 2025: Securing Your Enterprise Voice,"This article identifies and reviews the top Session Border Controller (SBC) vendors for 2025, emphasizing their role in securing enterprise voice communications. It highlights how these solutions ensure call encryption, protocol translation across diverse UC platforms, and protection against suspicious traffic in hybrid and multi-platform environments. The article provides detailed insights into various vendors like AudioCodes, Ribbon, Oracle, Cisco, and Avaya, discussing their key offerings, deployment flexibility, security features, and integrations to help enterprises select the best SBC for their needs.",20250701T203232,2025-07-01 20:32:32,positive,0.8596,0.7313,0.1283,0.0121,0.8596,1.0,0.8596,1.0,1.0,1.25,1.25,1.0745
ORCL,2025-07-01,2025-07-01 09:08,Investing.com,Grande Group shares begin trading at $5.90 after IPO priced at $5,"Grande Group Limited (NASDAQ: GRAN) began trading on the Nasdaq Capital Market at $5.90 per share after its initial public offering was priced at $5.00 per share. The Hong Kong-based financial services provider issued 1,875,000 Class A ordinary shares, expecting gross proceeds of approximately $9.375 million. The company also granted underwriters an option to purchase an additional 281,250 Class A ordinary shares.",20250701T090847,2025-07-01 09:08:47,positive,0.8588,0.7283,0.1305,0.0107,0.8588,1.0,0.8588,1.0,1.0,1.0,1.0,0.8588
ORCL,2025-07-01,2025-07-01 04:32,TradingNEWS,QTUM ETF Hits $59: Quantum Hype or Machine Learning Play?,"The QTUM ETF has risen to $59, reflecting a blend of quantum computing speculation and strong performance from underlying machine learning and semiconductor holdings. While the fund contains some pure-play quantum companies, its gains are largely driven by mega-cap AI stocks, masking significant volatility in the genuine quantum sector. The article suggests QTUM is a hold, recommending adding on dips and trimming at highs, unless quantum breakthroughs materialize soon.",20250701T043219,2025-07-01 04:32:19,negative,0.7539,-0.5723,0.7539,0.0645,0.1816,-1.0,-0.7539,1.0,1.0,1.0,1.0,-0.7539
ORCL,2025-07-01,2025-07-01 00:00,NVIDIA Blog,How AI Factories Can Help Relieve Grid Stress,"Emerald AI, an NVIDIA Inception startup, is developing a software platform called Emerald Conductor that enables AI factories to reduce power consumption during peak grid demand while maintaining performance. This AI-powered system orchestrates workloads across data centers, allowing for flexible power usage, which can help bring new data centers online sooner by leveraging existing energy infrastructure and integrating renewable energy more effectively. The company recently demonstrated a 25% power reduction during a grid stress event in Phoenix, Arizona, and announced over $24 million in seed funding.",20250701T000000,2025-07-01 00:00:00,negative,0.827,-0.6671,0.827,0.0131,0.1599,-1.0,-0.827,1.0,1.0,1.0,1.0,-0.827
ORCL,2025-07-01,2025-06-30 23:05,SiliconANGLE,Oracle wins cloud contract expected to generate $30B+ in annual revenue,"Oracle Corp. announced a new cloud contract valued at over $30 billion annually, causing its stock to rise significantly. This contract is one of several secured since the start of its 2026 fiscal year, highlighting a strong start with its cloud services. While the client remains undisclosed, speculation points to OpenAI, with whom Oracle is already collaborating on the ""Stargate"" AI data center initiative.",20250630T230519,2025-06-30 23:05:19,negative,0.8581,-0.732,0.8581,0.0157,0.1262,-1.0,-0.8581,0.9912643979509913,1.0,1.15,1.13995405764364,-0.9781945768640075
ORCL,2025-07-01,2025-06-30 11:40,MarketWatch,"Oracle’s stock is climbing, and these are the big reasons why",Oracle's stock gained 4% following an upgrade by analysts who see significant opportunities in its large-scale cloud and AI infrastructure business. The optimism is also fueled by a new cloud agreement and the increasing likelihood of TikTok remaining operational in the U.S.,20250630T114000,2025-06-30 11:40:00,negative,0.9535,-0.9245,0.9535,0.0175,0.029,-1.0,-0.9535,0.88804439327021,1.1,1.0,0.9768488325972311,-0.9314253618814599
ORCL,2025-07-01,2025-06-26 22:39,Supply & Demand Chain Executive,GXO’s AI-First Platform to Power Global Supply Chain Operations,"GXO Logistics has launched GXO IQ, an AI-powered intelligent platform designed specifically for the logistics industry. This platform leverages proprietary AI algorithms to orchestrate various complex operations, including inventory management, order fulfillment, and staffing, in real-time. GXO IQ aims to enhance productivity and dynamism in warehousing, offering a comprehensive, customizable solution for global supply chain operations with an interactive AI agent named GIL for intuitive management.",20250626T223935,2025-06-26 22:39:35,positive,0.7073,0.423,0.2843,0.0083,0.7073,1.0,0.7073,0.39176263164441194,1.0,1.0,0.39176263164441194,0.2770937093620926
ORCL,2025-07-01,2025-06-26 22:36,Business.com,Five9 Review and Pricing Plans in 2026,"This article provides a comprehensive review of Five9, an omnichannel call center software and VoIP platform, highlighting its strengths in data security and compliance for highly regulated industries. It delves into Five9's features, ease of use, artificial intelligence integrations, pricing plans, and limitations. The review concludes that while Five9 is an excellent choice for businesses prioritizing cybersecurity and compliance, its higher cost and additional charges for certain features might make it less suitable for businesses with limited budgets.",20250626T223603,2025-06-26 22:36:03,positive,0.6434,0.3447,0.2987,0.0579,0.6434,1.0,0.6434,0.39154059419362136,1.0,1.0,0.39154059419362136,0.25191721830417596
ORCL,2025-07-01,2025-06-26 10:02,PR Newswire,"Smart Warehousing Market Outlook 2030 | $57.97B Growth | How IoT, AI, and Automation Are Reshaping Modern Logistics | Exclusive Report by The Research Insights","The Smart Warehousing Market is projected to reach USD 57.97 billion by 2030, growing at a CAGR of 14.2%. This growth is primarily driven by the increasing adoption of IoT, AI, and robotics in warehouse operations, alongside the demand for real-time visibility and efficient order fulfillment, fueled by the rapid expansion of e-commerce and omnichannel retailing. North America currently holds the largest market share, while Asia Pacific is expected to exhibit the highest CAGR due to increasing adoption of automated and robotics technologies.",20250626T100200,2025-06-26 10:02:00,negative,0.8524,-0.7124,0.8524,0.0076,0.14,-1.0,-0.8524,0.3469224685005429,1.0,1.0,0.3469224685005429,-0.2957167121498628
ORCL,2025-07-01,2025-06-25 23:08,San Antonio Express-News,BlackRock launches Texas-focused fund to tap into state’s ‘dynamic’ economy,"BlackRock has launched a new index fund, the iShares Texas Equity ETF (TEXN), focused exclusively on publicly traded companies headquartered in Texas. This move aims to provide investors with targeted exposure to the state's robust economy, citing its ""twin engines"" of business and population growth that have made Texas the world's eighth-largest economy if standalone. The launch follows a period of friction between BlackRock and the state over ESG policies, and the firm recently withdrew from the Net-Zero Asset Managers Initiative.",20250625T230853,2025-06-25 23:08:53,negative,0.5214,-0.1468,0.5214,0.1041,0.3745,-1.0,-0.5214,0.31240745185433616,1.0,1.0,0.31240745185433616,-0.16288924539685087
