ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
GOOG,2025-01-01,2024-12-31 23:59,The Acquirer's Multiple,Li Lu – Top 10 Holdings – Latest 13F,"This article details the top 10 holdings of superinvestor Li Lu's portfolio as of June 30, 2024, based on his latest 13F-HR filing. His portfolio has a market value of over $2.5 billion, with significant concentrations in companies like Bank of America, Alphabet, Berkshire Hathaway, and Apple. The article emphasizes using 13F-HR documents to track superinvestors' strategies.",20241231T235959,2024-12-31 23:59:59,positive,0.9479,0.916,0.0319,0.0201,0.9479,1.0,0.9479,0.9999973258246383,1.0,1.0,0.9999973258246383,0.9478974651491746
GOOG,2025-01-01,2024-12-31 23:59,Adobe,5–Year Anniversary of the Content Authenticity Initiative: What it Means and What’s Ahead?,"The article celebrates the 5-year anniversary of the Content Authenticity Initiative (CAI), co-founded by Adobe to combat digital manipulation and AI-generated content. It highlights the significant growth of the CAI coalition, the development and increasing adoption of Content Credentials as a provenience standard, and plans for deeper integration into Adobe products and a new web app for creators. The piece emphasizes the importance of media literacy, policy engagement, and continued collaboration to build a more trustworthy digital ecosystem.",20241231T235959,2024-12-31 23:59:59,positive,0.6285,0.2659,0.3626,0.0089,0.6285,1.0,0.6285,0.9999973258246383,1.0,1.0,0.9999973258246383,0.6284983192807851
GOOG,2025-01-01,2024-12-31 23:59,Adobe,The Road Ahead for Responsible Innovation,"Adobe outlines its multi-faceted approach to responsible AI innovation, focusing on commercial safety, creator protection, and ethical development. The company highlights its strategy of training Firefly on licensed content to avoid copyright issues and its proposal for a Federal Anti-Impersonation Right Act to protect creators. Adobe also details its AI Ethics engineering team, involvement in global AI policy, and leadership in combating deepfakes through Content Credentials.",20241231T235959,2024-12-31 23:59:59,positive,0.7541,0.5183,0.2357,0.0102,0.7541,1.0,0.7541,0.9999973258246383,1.0,1.0,0.9999973258246383,0.7540979834043597
GOOG,2025-01-01,2024-12-31 23:59,Business Wire,AWS Trainium2 Instances Now Generally Available,"AWS has announced the general availability of its new Trainium2-powered Amazon EC2 instances and Trn2 UltraServers, designed to offer significantly better price performance for training and deploying large AI models. These new offerings feature AWS's latest Trainium2 AI chips and ultra-fast NeuronLink interconnects, enabling rapid model iteration and lower costs for customers like Anthropic, Databricks, and Hugging Face. AWS also unveiled its next-generation Trainium3 chips, expected to be even more powerful and available in late 2025.",20241231T235959,2024-12-31 23:59:59,negative,0.7937,-0.5961,0.7937,0.0088,0.1976,-1.0,-0.7937,0.9999973258246383,1.0,1.0,0.9999973258246383,-0.7936978775070154
GOOG,2025-01-01,2024-12-31 23:59,CME Group,The Growth of Tech and 25 Years of Nasdaq Futures,"This article discusses the quarter-century growth of technology stocks and the Nasdaq-100 index, highlighting the importance of E-mini Nasdaq-100 futures for risk management. It details the evolution of this futures contract since its 1999 launch, its significant trading volume, and its role as a global benchmark for the technology-driven economy. The piece also contrasts current tech valuations with the dot-com era, emphasizing the increased precision and accessibility of risk management tools for investors.",20241231T235959,2024-12-31 23:59:59,positive,0.7495,0.5086,0.2408,0.0097,0.7495,1.0,0.7495,0.9999973258246383,1.0,1.0,0.9999973258246383,0.7494979957055664
GOOG,2025-01-01,2024-12-31 23:59,TradingView,NextEra Energy CEO predicts renewable energy demand to triple by 2030 despite Q2 revenue miss,"NextEra Energy CEO John Ketchum predicts renewable energy demand will triple by 2030, driven by AI data centers and electrification, despite the company missing Q2 revenue expectations with $6.07 billion. NextEra expanded its renewable and storage backlog significantly, including agreements with Google, and views renewables as superior to natural gas due to cost-effectiveness, though it also plans to restart a nuclear plant. The company maintains a strong long-term outlook, supported by analyst ""overweight"" ratings and a 2.73% dividend yield, positioning it to capitalize on the growing energy transition.",20241231T235959,2024-12-31 23:59:59,negative,0.9518,-0.9162,0.9518,0.0125,0.0356,-1.0,-0.9518,0.9999973258246383,1.0,1.15,1.149996924698334,-1.0945670729278743
GOOG,2025-01-01,2024-12-31 23:59,Business Wire,"NRG, Renew Home and Google Cloud Announce Partnership","NRG, Renew Home, and Google Cloud are partnering to create a nearly 1 GW AI-powered Virtual Power Plant (VPP) in Texas by 2035. This initiative aims to enhance grid resilience, reduce household energy costs through smart thermostats, and leverage Google Cloud's technology for improved energy management and forecasting. The VPP program will roll out to Texas customers in the spring of 2025.",20241231T235959,2024-12-31 23:59:59,negative,0.7832,-0.5745,0.7832,0.0082,0.2087,-1.0,-0.7832,0.9999973258246383,1.0,1.0,0.9999973258246383,-0.7831979055858567
GOOG,2025-01-01,2024-12-31 23:59,Business Wire,"TEGNA Names Michael Steib to Succeed David Lougee as President, CEO and Director","TEGNA Inc. announced that Michael Steib will succeed David Lougee as President, CEO, and Director starting August 12, 2024. The company also appointed Catherine Dunleavy and Denmark West as new independent directors to the board, effective July 1, 2024. These changes reflect a leadership transition and board refreshment aimed at leveraging digital and financial expertise for TEGNA's future.",20241231T235959,2024-12-31 23:59:59,positive,0.8525,0.7181,0.1345,0.013,0.8525,1.0,0.8525,0.9999973258246383,1.0,1.0,0.9999973258246383,0.8524977202655042
GOOG,2025-01-01,2024-12-31 23:59,MSN,Google CEO Sundar Pichai sells Google stock worth $5.15 million under the 'trading plan' adopted in December 2024,"Google CEO Sundar Pichai sold Google stock valued at $5.15 million, executed under a pre-arranged trading plan from December 2024. This notable transaction of Alphabet (GOOG) shares by a key executive is typical for planned diversification or liquidity for personal finances.",20241231T235959,2024-12-31 23:59:59,positive,0.9261,0.8655,0.0606,0.0133,0.9261,1.0,0.9261,0.9999973258246383,1.0,1.0,0.9999973258246383,0.9260975234461976
GOOG,2025-01-01,2024-12-31 23:59,ADWEEK,IPG Sells Huge to Private Equity firm AEA Investors,"Interpublic Group has sold its experience design and technology agency, Huge, to private equity firm AEA Investors. AEA Investors will combine Huge with its existing customer experience company, Hero Digital, to create one of the largest independent experience transformation businesses globally. Huge, founded in 1999, boasts a client roster including major companies like ExxonMobil, Google, McDonald’s, NBCUniversal, and Nike.",20241231T235959,2024-12-31 23:59:59,positive,0.7725,0.5527,0.2198,0.0076,0.7725,1.0,0.7725,0.9999973258246383,1.0,1.0,0.9999973258246383,0.772497934199533
