ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
ACN,2026-04-01,2026-04-01 21:08,Mobile World Live,"Rockwell, SLB exit oil, gas automation JV","Rockwell Automation and SLB have dissolved Sensia, their joint venture established in 2019 to provide digital automation services to the oil and gas industries. The companies announced that relevant products from Sensia have been brought back under their respective ownerships, with Rockwell Automation taking full ownership of the Process Automation Business and SLB acquiring the Lift Control, Measurement, Digital Solutions, and Edge Applications units. Both companies assured customers that services would not be affected and continuity plans are in place.",20260401T210841,2026-04-01 21:08:41,positive,0.8895,0.8281,0.0614,0.0491,0.8895,1.0,0.8895,1.0,1.0,1.0,1.0,0.8895
ACN,2026-04-01,2026-04-01 19:36,AD HOC NEWS,Exponent Inc Stock: Engineering Consulting Leader with Strong North American Exposure and Growth Pot,"Exponent Inc (EXPO) is presented as a premier engineering and scientific consulting firm, specializing in failure analysis and litigation support. The article highlights its recession-resistant business model, strong North American presence, and consistent revenue growth driven by complex, high-value projects. Investors are encouraged to consider EXPO for its stable financial health, niche market position, and potential for growth in an increasingly technical and litigious global economy.",20260401T193637,2026-04-01 19:36:37,negative,0.9161,-0.842,0.9161,0.0098,0.0741,-1.0,-0.9161,1.0,1.0,1.0,1.0,-0.9161
ACN,2026-04-01,2026-04-01 17:38,Bitget,Omnicom's Transformation Consultancy Strengthens Capabilities with the Launch of Unified Adobe Practice,"Omnicom (NYSE: OMC), through its transformation consultancy Credera, has launched a unified Adobe practice to enhance its enterprise marketing transformation capabilities. This new practice integrates LeapPoint, acquired by Omnicom in 2024, and will be led by former LeapPoint CEO Nik DeBenedetto. The initiative aims to help clients accelerate the value of their Adobe investments and drive sustainable revenue growth, with an official unveiling at the upcoming Adobe Summit.",20260401T173818,2026-04-01 17:38:18,negative,0.8724,-0.7515,0.8724,0.0066,0.121,-1.0,-0.8724,1.0,1.0,1.0,1.0,-0.8724
ACN,2026-04-01,2026-04-01 17:10,AD HOC NEWS,Exponent Inc Stock: Engineering Consulting Leader with Strong North American Exposure and Growth Pot,"Exponent Inc is a leading engineering and scientific consulting firm specializing in failure analysis and litigation support, particularly valued by North American investors for its recession-resistant model. The company's diverse expertise, high-value non-recurring projects, and strong financial health with a debt-free balance sheet contribute to its stable, high-margin business. Exponent operates with a focus on niche technical expertise, serving various sectors from transportation to health sciences, and offers a strong value proposition as a quality compounder with defensive qualities in volatile markets.",20260401T171009,2026-04-01 17:10:09,negative,0.8282,-0.6645,0.8282,0.0082,0.1637,-1.0,-0.8282,1.0,1.0,1.0,1.0,-0.8282
ACN,2026-04-01,2026-04-01 15:09,Fortune India,Wipro launches AI-native business unit; announces top-level leadership shuffle,"Wipro has launched an AI-native business unit to strengthen its position in the ""services as software"" world and incubate new AI-led business lines. Nagendra Bandaru, a Wipro veteran, has been appointed as the CEO of this new unit, while former Accenture executive Kanwar Singh will take over Bandaru's previous role as President and Managing Partner of Technology Services GBL. Additionally, Suzanne Dann, CEO for the Americas-2 Strategic Market Unit, is stepping down from the company.",20260401T150957,2026-04-01 15:09:57,positive,0.9114,0.8718,0.0397,0.0489,0.9114,1.0,0.9114,1.0,1.0,1.0,1.0,0.9114
ACN,2026-04-01,2026-04-01 15:09,CNBC TV18,Wipro appoints Nagendra Bandaru to lead new AI-native unit; rejigs leadership,"Wipro has appointed Nagendra Bandaru as CEO of its newly formed AI-native Business and Platforms Unit, effective immediately, to accelerate enterprise-grade AI solutions and build AI-led business streams. Bandaru, a Wipro veteran, will continue to report to CEO Srini Pallia, while Kanwar Singh will take over Bandaru's previous role as president and managing partner of Technology Services Global Business Lines. The company also announced Suzanne Dann will step down as CEO of the Americas-2 Strategic Market Unit.",20260401T150957,2026-04-01 15:09:57,positive,0.8386,0.8113,0.0272,0.1342,0.8386,1.0,0.8386,1.0,1.15,1.0,1.15,0.96439
ACN,2026-04-01,2026-04-01 14:10,Intellectia AI,"FCTE Stock News Today | Earnings, Events & Price Alerts","This page provides a compilation of recent news and events related to FCTE stock, including headlines from various financial news sources. It features news on market predictions, unusual trading volume, and company-specific updates, alongside general market information. The platform also offers tools for stock analysis and price alerts for FCTE.",20260401T141027,2026-04-01 14:10:27,positive,0.9468,0.9211,0.0257,0.0275,0.9468,1.0,0.9468,1.0,1.0,1.25,1.25,1.1835
ACN,2026-04-01,2026-04-01 13:58,Investing.com India,"Omnicom launches Adobe practice, integrates LeapPoint By Investing.com","Omnicom Group Inc. announced the launch of a new Adobe practice through its transformation consultancy, Credera, integrating its 2024 acquisition, LeapPoint. This move expands Omnicom's digital transformation capabilities and aims to help clients maximize their Adobe investments. The new practice will be presented at Adobe's Summit in April.",20260401T135816,2026-04-01 13:58:16,negative,0.7949,-0.5973,0.7949,0.0074,0.1976,-1.0,-0.7949,1.0,1.0,1.0,1.0,-0.7949
ACN,2026-04-01,2026-04-01 13:45,MarketScreener,Omnicom's Transformation Consultancy Strengthens Capabilities with the Launch of Unified Adobe Practice,"Omnicom, through its transformation consultancy Credera, has launched a unified Adobe practice by integrating LeapPoint, which Omnicom acquired in 2024. This move strengthens Omnicom's position in enterprise marketing transformation by combining Credera's consulting expertise with LeapPoint's award-winning Adobe capabilities. The new practice aims to accelerate growth opportunities for clients by optimizing their Adobe investments and leveraging Omnicom's interconnected services.",20260401T134529,2026-04-01 13:45:29,negative,0.9175,-0.8422,0.9175,0.0071,0.0754,-1.0,-0.9175,1.0,1.0,1.0,1.0,-0.9175
ACN,2026-04-01,2026-04-01 13:39,CDO Magazine,HSBC Names David Rice as First Chief AI Officer,"HSBC Holdings plc has appointed David Rice as its inaugural Chief AI Officer, a new role established to spearhead enterprise-wide AI adoption. Rice will be responsible for integrating AI solutions to enhance operations, streamline processes, and improve customer services. This strategic move underscores HSBC's commitment to leveraging AI safely and responsibly to benefit both employees and clients.",20260401T133925,2026-04-01 13:39:25,negative,0.7504,-0.51,0.7504,0.0091,0.2404,-1.0,-0.7504,1.0,1.0,1.0,1.0,-0.7504
